month,vintage
2004-01,59
2004-02,76
2004-03,65
2004-04,64
2004-05,49
2004-06,47
2004-07,82
2004-08,41
2004-09,60
2004-10,67
2004-11,62
2004-12,75
2005-01,54
2005-02,41
2005-03,60
2005-04,42
2005-05,56
2005-06,62
2005-07,67
2005-08,64
2005-09,54
2005-10,83
2005-11,47
2005-12,41
2006-01,61
2006-02,53
2006-03,63
2006-04,43
2006-05,50
2006-06,42
2006-07,44
2006-08,44
2006-09,48
2006-10,59
2006-11,52
2006-12,41
2007-01,41
2007-02,47
2007-03,46
2007-04,34
2007-05,40
2007-06,45
2007-07,45
2007-08,57
2007-09,45
2007-10,58
2007-11,52
2007-12,55
2008-01,48
2008-02,52
2008-03,47
2008-04,50
2008-05,59
2008-06,56
2008-07,57
2008-08,59
2008-09,56
2008-10,69
2008-11,54
2008-12,45
2009-01,46
2009-02,38
2009-03,53
2009-04,43
2009-05,46
2009-06,51
2009-07,55
2009-08,59
2009-09,58
2009-10,63
2009-11,50
2009-12,64
2010-01,42
2010-02,46
2010-03,49
2010-04,55
2010-05,45
2010-06,50
2010-07,47
2010-08,48
2010-09,47
2010-10,57
2010-11,43
2010-12,55
2011-01,56
2011-02,56
2011-03,55
2011-04,57
2011-05,50
2011-06,53
2011-07,60
2011-08,57
2011-09,55
2011-10,66
2011-11,61
2011-12,68
2012-01,56
2012-02,59
2012-03,53
2012-04,56
2012-05,52
2012-06,58
2012-07,61
2012-08,64
2012-09,54
2012-10,58
2012-11,58
2012-12,65
2013-01,51
2013-02,52
2013-03,52
2013-04,50
2013-05,42
2013-06,50
2013-07,49
2013-08,51
2013-09,46
2013-10,48
2013-11,52
2013-12,57
2014-01,45
2014-02,40
2014-03,49
2014-04,48
2014-05,48
2014-06,41
2014-07,49
2014-08,50
2014-09,44
2014-10,46
2014-11,48
2014-12,49
2015-01,40
2015-02,37
2015-03,44
2015-04,45
2015-05,44
2015-06,38
2015-07,52
2015-08,49
2015-09,46
2015-10,47
2015-11,41
2015-12,51
2016-01,50
2016-02,48
2016-03,49
2016-04,54
2016-05,47
2016-06,51
2016-07,55
2016-08,49
2016-09,53
2016-10,55
2016-11,48
2016-12,55
2017-01,47
2017-02,53
2017-03,51
2017-04,55
2017-05,53
2017-06,58
2017-07,69
2017-08,65
2017-09,56
2017-10,63
2017-11,59
2017-12,64
2018-01,61
2018-02,55
2018-03,62
2018-04,54
2018-05,52
2018-06,58
2018-07,70
2018-08,72
2018-09,62
2018-10,68
2018-11,65
2018-12,71
2019-01,66
2019-02,64
2019-03,64
2019-04,62
2019-05,61
2019-06,68
2019-07,69
2019-08,74
2019-09,67
2019-10,70
2019-11,67
2019-12,71
2020-01,64
2020-02,67
2020-03,43
2020-04,34
2020-05,51
2020-06,61
2020-07,70
2020-08,67
2020-09,69
2020-10,68
2020-11,64
2020-12,75
2021-01,69
2021-02,65
2021-03,70
2021-04,64
2021-05,69
2021-06,70
2021-07,86
2021-08,82
2021-09,73
2021-10,83
2021-11,74
2021-12,93
2022-01,77
2022-02,79
2022-03,81
2022-04,79
2022-05,78
2022-06,74
2022-07,90
2022-08,87
2022-09,79
2022-10,82
2022-11,74
2022-12,85
2023-01,79
2023-02,81
2023-03,82
2023-04,83
2023-05,77
2023-06,85
2023-07,95
2023-08,91
2023-09,83
2023-10,82
2023-11,82
2023-12,100
2024-01,86
2024-02,85
2024-03,85
2024-04,87
2024-05,80
2024-06,86